category,normalized_name,grape_witches_url,gw_title,gw_winery_display,gw_wine_display,gw_grape_display,gw_region_display,gw_description,gw_thumbnail_url,gw_price,vivino_rating,vivino_num_ratings,vivino_url,vivino_confidence,vivino_match_reason,needs_review
Salty & Savoury,Cinque Campi 'Bora Lunga' Spergola & Moscato Giallo Emilia-Romagna,https://grapewitches.com/products/cinque-campi-bora-lunga,'Bora Lunga',,,,,"Spergola &amp; Moscato Giallo, Emilia-Romagna, Italy A balanced, bright and RARE as heck textured white from an honourable house. Cinque Campi is a family estate passed down from father to son in the Nizzoli family for more than 200 years. Today they focus on local grapes, organic viticulture and zero-zero expressions",http://grapewitches.com/cdn/shop/files/07_04_25_029.jpg?v=1752169036,$66.00,3.9,399,https://www.vivino.com/w/4164637,low,producer_overlap=0.57; cuvee_overlap=0.00; title_hint_overlap=0.44; title='Cinque Campi Bora Lunga',True
Salty & Savoury,Oda Family Winery Dzelshavi,https://grapewitches.com/products/oda-dzelshavi,Dzelshavi,,,,,"Dzelshavi, Samegrelo, Georgia | Keto Ninidze is not only at the forefront of a new generation of Georgian winemakers, she's also an activist and an author, penning no less than three books on Georgian literature and another on wine called&nbsp;A Gently Fermenting Revolution: Women in the Georgian Wine Business,&nbsp;which should tell you all you need to know about her convictions! She's a big deal, supporting women in wine, single-handedly reviving Samegrelo as a wine destination and earning the adorably clunky title of Woman Farmer of the Year. Dzelshavi is one of the region's oldest grapes, making fresh and lifted Beaujolais-adjacent wines with peppery Cab Franc vibes. From 60 year old vines, the grapes were fermented with ambient yeasts and aged 7 months in traditional clay qvevri before bottled unfined and unfiltered with a mere 900 bottles made. High-toned florals and juicy Beaujolais joie de vivre meet a dark, spicy red at the afterparty –&nbsp;macerated cherry, puckered violets, black pepper & thyme leaf with grippy tannins & a salty, mouthwatering acid on the finish. Irreverent like an especially powerful swan, a proud creature that would never bow to unreasonable beauty standards or the whims of capitalism.",http://grapewitches.com/cdn/shop/products/Red_07_611f4220-29a9-4822-b1b7-5c3b95b00d09.jpg?v=1642622836,$52.00,4.0,113,https://www.vivino.com/w/7126453,medium,producer_overlap=0.67; cuvee_overlap=1.00; title_hint_overlap=0.75; title='Oda Family Marani (საოჯახო მარანი - ოდა) Dzelshavi',True
Salty & Savoury,Collecapretta 'Rosso Da Tavola' Sangiovese Umbria,https://grapewitches.com/products/collecapretta-rosso-da-tavola,'Rosso Da Tavola',,,,,"Sangiovese, Umbria, Italy A staggeringly complex, zero-zero, umami-brushed Umbrain delight! The Mattioli family behind Collecapretta have resided in the small village of Terzo la Pieve, once called Collecapretta, or hill of the goats, since the 1100's! They have been cultivating the rough, iron, calcium and limestone-s",http://grapewitches.com/cdn/shop/files/02_24_2026_024.jpg?v=1773851392,$55.00,3.9,902,https://www.vivino.com/w/1422173,low,producer_overlap=0.20; cuvee_overlap=0.00; title_hint_overlap=0.17; title='Collecapretta Il Rossodatavola',True
Salty & Savoury,SRC 'Etna Rosso' Nerello Mascalese & Grenache Sicily,https://grapewitches.com/products/src-2022-etna-rosso,'Etna Rosso',,,,,"Nerello Mascalese &amp; Grenache, Sicily, Italy An aromatic, juicy and volcano-grown Etna Rosso punching WAY above its weight. The familial team of Rori, Cinzia and their daughter Sandra Parasiliti work with great care from vine to wine to make their pristine, punctuated and region-forward delights. The star grape here",http://grapewitches.com/cdn/shop/files/09_25_25_026.jpg?v=1760628439,$75.00,3.9,758,https://www.vivino.com/w/4115015,low,producer_overlap=0.33; cuvee_overlap=0.00; title_hint_overlap=0.29; title='Crasà - SRC Rosso',True
Everyday Bangers,Adernats 'Bombolla' Macabeo Xarel-lo & Parellada,https://grapewitches.com/products/bombolla,'Bombolla',,,,,"Macabeo, Xarel-lo &amp; Parellada, (Tarragona) Catalonia, Spain Sun-soaked, spirited and bone dry, this cava is here for you morning, noon &amp; night. A brand new project with Adernats that began with our insatiable goal of offering über tasty, well-made and affordable sparkling, perfect for life's everyday moments &a",http://grapewitches.com/cdn/shop/files/09_01_23_112.jpg?v=1739645337,$33.00,,,,,No candidate with parsed rating.,True
Everyday Bangers,Villa Picta 'Lambrusco Mantovano' Lambrusco Ruberti Lombardy,https://grapewitches.com/products/lambrusco-mantovano,'Lambrusco Mantovano',,,,,"Lambrusco Ruberti, Lombardy, Italy | Like a new star appeared in the bubbly red sky and formed a freshly twinkling constellation for us to contemplate our existences over. Brand new to Ontario, meet Villa Picta! Young, passionate winegrower and maker Paolo Pasini, and author/NYC *star* sommelier Amanda Smeltz have teamed up and are defining lambrusco in their own terms. Paolo's three hectares of familial river valley vineyards sit in southern Lombardy at the intersection of Veneto and Emilia-Romagna, focusing on the regional varieties in the Lambrusco family that deserve their minimal-intervention moments in the sun and welcoming non-regional grapes that they believe make perfect sense to plant. FUN FACT! Ruberti is one of lambrusco's hyper-specific expressions of place, only grown in Mantova! Spritely bubbles that burst like flowers opening, freeze dried strawberry, wilted fennel meets blackberry bramble catches, shells, French soap on a rope & a fierce, salty acidity. The pair recommend enjoying with tortellini en brodo, and don't forget to give the broth a little sip.",http://grapewitches.com/cdn/shop/files/11_07_24_016.jpg?v=1739644758,$40.00,4.0,209,https://www.vivino.com/w/5459641,low,producer_overlap=0.60; cuvee_overlap=0.00; title_hint_overlap=0.50; title='Villa Picta Lambrusco Mantova',True
Everyday Bangers,A A Badenhorst 'Papegaai' Chenin Blanc Palomino,https://grapewitches.com/products/aa-badenhorst-papegaai-white-blend,'Papegaai White',,,,,"White Blend, Swartland, South Africa A rich, fruity and squaking for your attention South African white blend. Cousins Hein and Adi Badenhorst restored the neglected cellar of a farm that was last used in the 1930s, and have been producing lusty, low-intervention wines out of it since 2008. Their 28 hectares of old bus",http://grapewitches.com/cdn/shop/files/GW_04_14_26_015.jpg?v=1776798286,$41.00,,,,,Not listed on Vivino (manual list).,False
Everyday Bangers,Ori Marani 'Exile on Caucasus' Rkatsiteli Imereti,https://grapewitches.com/products/exile,'Exile on Caucasus',,,,,"Rkatsiteli, Imereti, Georgia Let's be real, Georgia is the orange AKA skin-contact wine capital of the universe and although the recent reinvigoration of the style has given it a certain du jour quality, qvevri-aged, skin contact wine originated in the country 8000 years ago! If you've never had the pleasure, Georgia",http://grapewitches.com/cdn/shop/files/09-08-2022_17_addeca48-9319-42ef-b667-4e90d8759b05.jpg?v=1739645307,$43.00,4.0,327,https://www.vivino.com/w/6385789,low,producer_overlap=0.83; cuvee_overlap=0.00; title_hint_overlap=0.71; title='Ori Marani Exile on Caucasus',True
Everyday Bangers,Korenika & Moškon 'Tris' Pinot Blanc Malvasia & Sauvignon Blanc,https://grapewitches.com/products/tris,'Tris',,,,,"Pinot Blanc, Malvasia, Sauvignon Blanc, Istria, Slovenia Like drinking the yellow stripes of a bumblebee! Korenika &amp; Moškon is a family owned &amp; biodynamic certified winery located in Istria, Slovenia. A shoreline dreamland of rolling hillsides, an enviable view of the Adriatic, and rich land where their vines",http://grapewitches.com/cdn/shop/products/01_26_2023_41.jpg?v=1739645672,$39.00,3.5,6930,https://www.vivino.com/w/1376560,low,producer_overlap=0.00; cuvee_overlap=0.33; title_hint_overlap=0.12; title='Ménage à Trois Cabernet Sauvignon',True
Everyday Bangers,Para 'Rex' Mourvèdre Chardonnay,https://grapewitches.com/products/para-rex,'Rex',,,,,"Mourvèdre, Chardonnay, Carignan, Viognier &amp; Païs, Maule Valley, Chile Meet 'Rex', our GW House Light Red with a BRAND NEW LABEL thanks to Toronto art star Laura Dawe! Our house wines are a collaboration with winemaker Roberto Echeverría (Rex is their sweet pooch!) and the culmination of our dream to offer delicious",http://grapewitches.com/cdn/shop/files/01_16_26_017.jpg?v=1769467122,$32.00,,,,,Not listed on Vivino (manual list).,False
Everyday Bangers,Séléné 'Primeur' Gamay Beaujolais,https://grapewitches.com/products/selene-primeur,'Primeur',,,,,"Gamay, Beaujolais, France A berried, earthy &amp; JUICY big bojo baby! After interning at Savoie's famed Belluard and Beaujolais's great Lapalu, ex-punk rocker Sylvère Trichard began Séléné in his hometown of Blacé, with farmer and friend Elodie Bouvard in 2012. Since then the property has flourished with plantings of",http://grapewitches.com/cdn/shop/files/04_07_2026_003.jpg?v=1775682975,$45.00,3.7,3808,https://www.vivino.com/w/1214949,low,producer_overlap=0.20; cuvee_overlap=0.00; title_hint_overlap=0.17; title='N.V. Pere Ventura Cavas Cava Primer Reserva Brut',True
Plush & Textured,Pardas 'Rupestris' Xarel-lo & Malvasía de Sitges Penedes,https://grapewitches.com/products/pardas-rupestris,'Rupestris',,,,,"Xarel-lo &amp; Malvasia de Sitges, Penedés, Spain An earthen, bright &amp; nuanced Spanish white blend for the wild pig in all of us. The terribly exciting Catalonian wine project, Celler Pardas, is named after the wild boars that roam the 30 hectares of Mediterranean forests surrounding their painstakingly restored v",http://grapewitches.com/cdn/shop/files/GW_04_14_26_012.jpg?v=1776798528,$47.00,3.7,1651,https://www.vivino.com/w/1265605,low,producer_overlap=0.25; cuvee_overlap=0.00; title_hint_overlap=0.22; title='Pardas Rupestris',True
Plush & Textured,Marto x Volo 'Volare' Riesling Sylvaner & Scheurebe,https://grapewitches.com/products/marto-x-volo-volare,'Volare 3.0',,,,,"Riesling, Silvaner &amp; Scheurebe, Rheinhessen, Germany A supremely aromatic and JUICY collaboration orange in a soirée-ready 1L format! The newest instalment in local institution Bar Volo's series ""Volare"", where they partner with producers from around the world to bring delicious exclusives to Toronto. FUN FACT! ""V",http://grapewitches.com/cdn/shop/files/04_07_2026_042.jpg?v=1775671902,$57.00,,,,,Not listed on Vivino (manual list).,False
Plush & Textured,Gut Oggau 'Winifred' Blaufränkisch & Rotburger Burgenland,https://grapewitches.com/products/winifred,'Winifred',,,,,"Blaufränkisch & Zweigelt, Burgenland, Austria | Gut Oggau winemakers Stephanie & Eduard Tscheppe are deeply adored by natural wine lovers the whole world over and deserve every last iota of praise & reverence they receive! The fabric of the wines hinges upon the existence of a fictional family, with every vineyard plot being characterized by one of its members. Sometimes the cleverness of this device can call attention away from how consistently elegant, bewitching & functional these wines truly are, and either way, the Gut Oggau fam is&nbsp;way&nbsp;more than a cutesy gimmick— it's a progressive and anti-patriarchal language for thinking about wine emotionally & intuitively, which we are obviously way here for. Winifred is definitely the secretly and most effortlessly coolest member of the Gut Oggau fam. Theodora and her hot bro Atanasius are fancy & exhilarating & we love them for it, but Winifred is like a Cat Power/Patti Smith vibes tomboy poet who can repair a car engine with the same degree of natural ease as she can quote entire passages from&nbsp;Finnegan's Wake.&nbsp;This vintage of Winifred rosé drinks like Winifred went home to crash with her dad Timotheus & stepmom Josephine during the pandemic, setting up shop in her childhood bedroom, which has wall-to-wall dusty rose carpeting and a hidden anarchy sign carved into a secret spot on her wooden bed frame. This is a perfectly balanced rosé; most significantly, the Winifred vineyard is used&nbsp;only&nbsp;to make a rosé, so there is no saignée from a red wine.&nbsp; Fermentation takes place in used oak barrels; the wine goes through elevage in said barrels for about 8 months, with no batonnage. Winifred is then bottled unfined, unfiltered, and with zero addition of sulfur. Half savoury, salty & deep, like swimming through warm seawater, half energetic, healthy & fresh, like crushing half a bottle of Gatorade Frost after a legendarily transcendent run. Bright cranberry, pink apple, pairs with literally anything, the ultimate wine bar glass pour.",http://grapewitches.com/cdn/shop/products/11_02_2022-25.jpg?v=1739645857,$82.00,4.2,3558,https://www.vivino.com/w/2440063,low,producer_overlap=0.50; cuvee_overlap=0.00; title_hint_overlap=0.43; title='Gut Oggau Winifred Rosé',True
Plush & Textured,Guimaro 'Mencia Joven' Mencia Ribeira Sacra,https://grapewitches.com/products/guimaro-mencia-joven,'Mencia Joven',,,,,"Mencía, Ribeira Sacra, Spain From rugged Spanish terrain, may we present an earthy, aromatic and spiced mencía that is endlessly charming &amp; simply tastes FANCY. Founded by Manolo and Carmen Rodriguez in 1991, the estate is run today by their son Pedro Rodriguez, who took over in the early 2000s. Pedro's first order",http://grapewitches.com/cdn/shop/files/07_04_25_015.jpg?v=1752169109,$44.00,3.8,7460,https://www.vivino.com/w/2383519,medium,producer_overlap=0.67; cuvee_overlap=1.00; title_hint_overlap=0.80; title='Guimaro Ribeira Sacra Mencia',True
Plush & Textured,Thymiopoulos 'Xinomavro Nature' Xinomavro Naoussa,https://grapewitches.com/products/xinomavro-nature,'Xinomavro Nature',,,,,"Xinomavro, Naoussa, Greece A vegetal, stoney and spiced piece of Grecian history, plus a GW exlusive for Ontario! This was a favourite of our colleagues when they visited the winery last year, and we're so chuffed to have it here after many months of waiting. Apostolis Thymiopoulos's love affair with xinomavro, the sta",http://grapewitches.com/cdn/shop/files/01_16_26_011.jpg?v=1769201566,$55.00,3.9,1098,https://www.vivino.com/w/2536737,medium,producer_overlap=1.00; cuvee_overlap=0.00; title_hint_overlap=0.75; title='Thymiopoulos Xinomavro Nature',True
Plush & Textured,Chinati Vergano Dry Vermouth,https://grapewitches.com/products/chinato-vergano-dry-vermouth,'Dry Vermouth',,,,,"Piemonte, Italy A salty, savoury and magnificently seasonal Italian dry vermouth. GWI's first aperitif and digestif producer is back with a BRAND NEW cuvée, buongiorno Chinati Vergano! Tomasso and Pietro Vergano are second-generation makers, creating small batches of balanced and unique elixirs out of a teeny facility",http://grapewitches.com/cdn/shop/files/01_16_26_050.jpg?v=1770769847,$75.00,,,,,Not listed on Vivino (manual list).,False
Light & Lifted,Furlani 'Brut Metodo Interrotto Rosé' Pinot Noir,https://grapewitches.com/products/spumante-metodo-classico-rosato,'Spumante Brut Rosé',,,,,"Pinot Noir, Trentino Alto-Adige, Italy A leesy, animated &amp; clearly alpine bubbly rosé. From the Dolomite mountains in Trentino, Cantina Furlani is a high-altitude haven for low-intervention farming. Here, winemaker Matteo Furlani works with local and international grapes, creating dynamically minded wines that play",http://grapewitches.com/cdn/shop/files/GW_04_14_26_010.jpg?v=1776803362,$68.00,3.6,886,https://www.vivino.com/w/1758653,low,producer_overlap=0.40; cuvee_overlap=0.00; title_hint_overlap=0.38; title='N.V. Valdo Marca Oro Spumante Brut Rosé',True
Light & Lifted,Charlotte Dalton 'Love You Love Me Sémillon' Adelaide Hills,https://grapewitches.com/products/charlotte-dalton-love-you-love-me,'Love You Love Me' Semillon,,,,,"Semillon, Adelaide Hills, Australia | Semillon produces a luscious, pretty white wine but this iteration from natural wine superstar Charlotte Dalton is so much more than a pretty face. She's the main character, you can feel her charisma from across the room! This Semillon gets an extensive aging on the lees for body and texture, making its grand entrance with an unfurling of waxy lemon curd, pine resin and heady petrol. Fuzzy Peaches on crunchy celery-fennel salad which sounds like a contradiction but then again, what is sophistication if not an intriguing high-low contradiction! Like any good perfume ad, an intoxicating mix of high-falutin' conceptual grandeur with a worldly wink of silliness, darn tootin' delicious stuff.",http://grapewitches.com/cdn/shop/files/LoveYouLoveMe2.jpg?v=1776959745,$57.00,3.8,156,https://www.vivino.com/w/4796769,low,producer_overlap=0.71; cuvee_overlap=0.00; title_hint_overlap=0.50; title='Charlotte Dalton Love You Love Me White',True
Light & Lifted,Laurent Saillard 'Blank' Sauvignon Blanc Loire,https://grapewitches.com/products/laurent-saillard-blank,'Blank',,,,,"Sauvignon Blanc, Loire, France A balanced, rare and gossamer treat for the Loire-leaning or soon to be Loire-lover. Laurent's wines are emotive, spirited and, as of late, created out of determination in the face of climate instability and destruction by frost, hail or rain. 2023 was also a challenging, small vintage, b",http://grapewitches.com/cdn/shop/files/02_07_25_021.jpg?v=1740156190,$72.00,4.1,252,https://www.vivino.com/w/6100853,low,producer_overlap=0.60; cuvee_overlap=0.00; title_hint_overlap=0.50; title='Laurent Saillard Blank',True
Light & Lifted,Calvez-Bobinet 'Piak! Rose' Cab Franc Pineau d'Aunis & Chenin Blanc,https://grapewitches.com/products/calvez-bobinet-piak-rose,'Piak! Rose',,,,,"Cabernet Franc, Pineau d'Aunis &amp; Chenin Blanc, Loire, France A rare and lucky love triangle, as could only be concocted in the Loire valley's Saumur region. From winemakers Emeline Calvez and Sebastien Bobinet we are gifted this organic and youthful Cab Franc, Pineau d'Aunis &amp; Chenin blend. A mix of direct pres",http://grapewitches.com/cdn/shop/products/07-21-2022-27.jpg?v=1739646086,$49.00,3.4,798,https://www.vivino.com/w/1477075,low,producer_overlap=0.17; cuvee_overlap=0.00; title_hint_overlap=0.09; title='N.V. Yellow Tail Pink Bubbles Rose',True
Light & Lifted,Cantina Furlani 'Maddie' Schiava Trentino Alto-Adige,https://grapewitches.com/products/2021-maddie,'Maddie',,,,,"Schiava, Trentino Alto-Adige, Italy A crunchy, herbal, Alpine light red after our hearts! Furlani is a dynamic, biodynamic winery making some of the most exciting sparkling and still wines coming out of north-east Italy. The 'Maddie' is all about Schiava, a fresh and spicy regional grape that is made for the cheese a",http://grapewitches.com/cdn/shop/products/furlani.jpg?v=1739645749,$49.00,4.0,223,https://www.vivino.com/w/10095246,low,producer_overlap=0.50; cuvee_overlap=0.00; title_hint_overlap=0.29; title='Furlani Maddie Rosso',True
Light & Lifted,Envinate 'Lousas' Mencia & Friends Ribeira Sacra,https://grapewitches.com/products/envinate-lousas-aldea,'Lousas Aldea',,,,,"Mencía & Friends, Ribeira Sacra, Spain | Let's all slip into something more comfortable, like this rich, silken red blend from the team at Envinate, a winemaking operation making some of Spain's most compelling wines in Ribeira Sacra and the Canary Islands. Think of this as a trusted friend bringing you to a party somewhere you've never been before, an 80-20 blend of Mencía and other regional grapes from vines ranging from 15 to 60 years of age. Fermented mostly whole cluster, the grapes were aged in a combination of concrete, French oak and Austrian foudre for 11 months, then bottled unfined and unfiltered. A hot night on the town where you're the main character –&nbsp;juicy, red cherry suede, pomegrante gelato stain, anise in a spice sachet, rolled cig, bouquet of herbs & an upper octave of acid that sings into the night. Pair with spicy seafood paella & the sound of waves crashing.",http://grapewitches.com/cdn/shop/files/08_01_25_032.jpg?v=1754581575,$80.00,4.1,5575,https://www.vivino.com/w/2402855,low,producer_overlap=0.25; cuvee_overlap=0.00; title_hint_overlap=0.29; title='Envínate Lousas Viña de Aldea',True
Freaky Faves,Es d'Aqui 'Illumi-Nat' Mauzac,https://grapewitches.com/products/es-d-aqui-illuminati-orange,'Illumi-Nat',,,,,"Mauzac, Languedoc-Rousillon, France A gentle, free-thinking and zero-zero pet-nat with historic roots! Jean-Louis Pinto has operated his negociant (he purchases fruit rather than farming it) project since 2010. Based near Limoux, he sources organic and biodynamically tended grapes from unique plots, while working out",http://grapewitches.com/cdn/shop/files/GW_04_14_26_011.jpg?v=1776795653,$84.00,,,,,No candidate with parsed rating.,True
Freaky Faves,La Villana 'Bianco Fuoriluogo' Viognier Vermentino & Moscato,https://grapewitches.com/products/la-villana-bianco-fuoriluogo,'Bianco Fuoriluogo',,,,,"Viognier, Vermentino &amp; Moscato, Lazio, Italy A zero-zero, green, grassy and aromatically gracious white blend. American winemaker Joy Kull caught the grape bug while working as a sommelier and swiftly realized her only option was to travel to a faraway land to expand her mind &amp; dirty her hands. FUN FACT! Fuoril",http://grapewitches.com/cdn/shop/files/06_04_25_119.jpg?v=1750362592,$48.00,,,,,No candidate with parsed rating.,True
Freaky Faves,Oda Family Winery 'Tsolikouri Targameuli' Tsolikouri Samegrelo,https://grapewitches.com/products/oda-family-winery-tsolikouri-targameuli,'Tsolikouri Targameuli',,,,,"Tsolikouri, Samegrelo, Georgia An oceanic, spiced and root-y amphora-aged orange from a Georgian hero. Keto Ninidze is not only at the forefront of a new generation of Georgian winemakers, she's also an activist and author, penning no less than three books on Georgian literature and another on wine called A Gently Ferm",http://grapewitches.com/cdn/shop/files/02_24_2026_040_c3beed5d-c16f-4a8e-a837-12603e6ee5e6.jpg?v=1773850764,$61.00,3.9,31,https://www.vivino.com/w/9125605,low,producer_overlap=0.60; cuvee_overlap=0.00; title_hint_overlap=0.50; title='Oda Family Marani (საოჯახო მარანი - ოდა) Tsolikouri',True
